job_id,titles,teasers,companies,locations,categorys,subCategories,job_types,salaries,dateposted,datedisplay,url
75395267,Data Engineer,"We believe in positively impacting the lives of people around us and the environment we live in through the use of technology. Hence, we are commit...",Activate Interactive Pte Ltd,Central Region,Information & Communication Technology,Engineering - Software,Full time,,2024-04-24T18:06:00Z,1d ago,https://www.jobstreet.com.sg/job/75395267
75302637,Information Technology - Data Scientist (Data Science Track),"SIA has multiple positions for junior and senior data scientists to drive our AI, data science and business analytics initiatives.
Key Responsibili...",Singapore Airlines,East Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-21T14:39:00Z,4d ago,https://www.jobstreet.com.sg/job/75302637
75101363,Data Analytics - Senior Associate/AVP,· Master or equivalent in Data Science / Computing. Candidates with equivalent academic qualifications in other disciplines but able to showcase ke...,ORIENT FUTURES INTERNATIONAL (SINGAPORE) PTE. LTD.,West Region,Banking & Financial Services,Corporate Finance & Investment Banking,Full time,,2024-04-12T15:42:00Z,13d ago,https://www.jobstreet.com.sg/job/75101363
75288007,Data scientist,"Whizmeal is seeking a talented freelance Data Scientist to join our team and support our efforts in analyzing data for clients within the F&B, hosp...",WHIZMEAL PTE. LTD.,Central Region,Accounting,Bookkeeping & Small Practice Accounting,Full time,,2024-04-19T16:53:00Z,6d ago,https://www.jobstreet.com.sg/job/75288007
75390837,"Analytics, Insights & Reporting - Specialist","And to get there, we need ambitious people who believe in playing an important part in shaping that future. People seeking unmatched career and per...",AIA SINGAPORE PRIVATE LIMITED - GOH HOCK CHYE SAMUEL,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-24T08:18:00Z,2d ago,https://www.jobstreet.com.sg/job/75390837
75437819,"Executive, Actuarial","Collecting and interpreting data from various sources, including databases, spreadsheets, and other repositories.",Raffles Medical Group Ltd,Central Region,Insurance & Superannuation,Actuarial,Full time,,2024-04-26T10:22:29Z,1h ago,https://www.jobstreet.com.sg/job/75437819
75256126,Data Analyst - Search & Recommendation,-,SHOPEE SINGAPORE PRIVATE LIMITED,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-19T03:36:44Z,7d ago,https://www.jobstreet.com.sg/job/75256126
75424365,"Manager, People Analytics",Develop and implement analytical models to generate HR insights for the business on a global scale to guide decision making and strategic planning,Keppel People Services Pte Ltd,West Region,Human Resources & Recruitment,Other,Full time,,2024-04-26T03:37:18Z,8h ago,https://www.jobstreet.com.sg/job/75424365
75407684,Data Engineer,"As part of the Data Analytics team, you will be reporting to the Head of Big Data and Database. You will work with team members and line of busines...",Phillip Securities Pte Ltd,West Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-25T06:21:00Z,1d ago,https://www.jobstreet.com.sg/job/75407684
75299586,Sr Data Analyst (3PL / MNC),An exciting career opportunity for an MNC client in the Logistics & Supply Chain industry.,People Profilers Pte Ltd,East Region,Information & Communication Technology,Business/Systems Analysts,Full time,,2024-04-21T08:15:24Z,5d ago,https://www.jobstreet.com.sg/job/75299586
75338628,Temporary Data Scientist (IORA),Temporary Data Scientist (IORA),National University of Singapore,Central Region,Education & Training,Other,Contract/Temp,,2024-04-23T01:45:46Z,3d ago,https://www.jobstreet.com.sg/job/75338628
75367797,System Analyst (Data),"At least 5 years of experience in Data Analytics / BI reporting.Preferably, the incumbent should possess a Diploma / Degree in Computer...",Raffles Medical Group Ltd,Central Region,Information & Communication Technology,Business/Systems Analysts,Full time,,2024-04-24T02:27:39Z,2d ago,https://www.jobstreet.com.sg/job/75367797
75190963,Data Scientist,"* Major Foreign-Based Manufacturing Organisation in Singapore
* Key Data Role in Singapore
* Employee-Centric Environment",Hudson Global Resources ( HQ ),Central Region,Information & Communication Technology,Engineering - Software,Full time,to be advised,2024-04-17T05:35:19Z,9d ago,https://www.jobstreet.com.sg/job/75190963
